aoa,50k,70k,100k,200k,300k,400k,500k,600k
-15,0.2896,0.2761,0.2510,0.2401,0.2333,0.2219,0.2104,0.2089
-10,0.2324,0.2148,0.1709,0.1415,0.1568,0.1382,0.1414,0.1444
-8,0.1909,0.1673,0.0954,0.0546,0.0691,0.0571,0.0567,0.0547
-6,0.0614,0.0581,0.0365,0.0363,0.0252,0.0208,0.0197,0.0183
-4,0.0335,0.0367,0.0248,0.0216,0.0149,0.0145,0.0124,0.0118
-2,0.0271,0.0286,0.0149,0.0160,0.0131,0.0112,0.0102,0.0096
0,0.0242,0.0243,0.0147,0.0128,0.0125,0.0112,0.0105,0.0094
2,0.0344,0.0255,0.0159,0.0163,0.0128,0.0128,0.0116,0.0104
4,0.0456,0.0263,0.0161,0.0169,0.0140,0.0133,0.0124,0.0116
6,0.0632,0.0276,0.0162,0.0183,0.0159,0.0140,0.0136,0.0130
8,0.0589,0.0283,0.0191,0.0197,0.0180,0.0175,0.0170,0.0173
9,0.0450,0.0299,0.0268,0.0228,0.0217,0.0219,0.0212,0.0205
10,0.0547,0.0352,0.0308,0.0275,0.0260,0.0256,0.0247,0.0237
11,0.0624,0.0405,0.0338,0.0305,0.0308,0.0298,0.0290,0.0290
12,0.0753,0.0448,0.0374,0.0358,0.0355,0.0363,0.0351,0.0354
13,0.0934,0.0484,0.0415,0.0432,0.0380,0.0423,0.0423,0.0410
14,0.1095,0.0615,0.0517,0.0569,0.0434,0.0467,0.0473,0.0458
15,0.1384,0.0896,0.0809,0.0749,0.0669,0.0631,0.0632,0.0610
16,0.1799,0.1198,0.1095,0.1015,0.1035,0.1035,0.1067,0.1054
17,0.2156,0.1697,0.1495,0.1418,0.1341,0.1333,0.1453,0.1530
18,0.2469,0.1988,0.1867,0.1757,0.1645,0.1587,0.1871,0.1933
20,0.2892,0.2389,0.2277,0.2273,0.2150,0.2058,0.2295,0.2258
25,0.3244,0.3210,0.3133,0.3132,0.3151,0.3069,0.3067,0.3052
30,0.3555,0.3486,0.3392,0.3372,0.3323,0.3251,0.3352,0.3349
